run_id,vehicle_id,phase1_time,phase2_time,total_time,status,s1_ok,sigma2_ok,timestamp
1,1,0.09427939995657653,0.11079760000575334,0.20507699996232986,OK,,,1777102381.7469637
2,1,,,,PACKET_LOSS_PHASE1: [SIMULATOR] Packet dropped (Vehicle → ECA),,,1777102381.83872
3,1,0.10555760003626347,0.12139679992105812,0.22695439995732158,OK,,,1777102382.1161244
4,2,0.13739609997719526,0.19771099998615682,0.3351070999633521,OK,,,1777102382.5014606
5,2,0.10722439992241561,0.14371690002735704,0.25094129994977266,OK,,,1777102382.802982
6,2,0.19610860000830144,,,PACKET_LOSS_PHASE2: [SIMULATOR] Packet dropped (Vehicle → TMA),,,1777102383.1162326
7,3,0.09058409999124706,0.1184945999411866,0.20907869993243366,OK,,,1777102383.3755271
8,3,0.08319669996853918,0.09601710003335029,0.17921380000188947,OK,,,1777102383.6053338
9,3,0.0948623000876978,0.1167779000243172,0.211640200112015,OK,,,1777102383.867637
10,4,0.08495970000512898,0.11345209996215999,0.19841179996728897,OK,,,1777102384.1165824
11,4,0.08561309997458011,0.11325639998540282,0.19886949995998293,OK,,,1777102384.3660033
12,4,0.0918351000873372,0.12175859999842942,0.2135937000857666,OK,,,1777102384.6304119
13,5,0.08059400005731732,0.11754939996171743,0.19814340001903474,OK,,,1777102384.8787837
14,5,0.09075239999219775,0.1036924000363797,0.19444480002857745,OK,,,1777102385.1238017
15,5,0.07547160005196929,0.11469499999657273,0.19016660004854202,OK,,,1777102385.3647094
