run_id,sender,receiver,size_bits,propagation_delay,transmission_delay,processing_delay,queuing_delay,total_delay,packet_lost,timestamp
1,Vehicle,ECA,1256,0.0021807100775221074,0.00020933333333333334,0.0036921037000351375,0.0010823863825128793,0.007164533493403458,False,1777100840.5372446
1,Vehicle,ECA,5240,0.003059416689677368,0.0008733333333333334,0.003722264927332614,0.0010013929475184368,0.008656407897861753,False,1777100840.5372484
1,Vehicle,TMA,13288,0.0019098205760284754,0.002214666666666667,0.0015896788391351127,0.0005818825493756465,0.006296048631205901,False,1777100840.53725
2,Vehicle,ECA,1256,0.003888226617419565,0.00020933333333333334,0.003796711430927812,0.00291627848546199,0.010810549867142699,False,1777100840.7871325
2,Vehicle,ECA,5248,0.0070551758714173535,0.0008746666666666667,0.0030922266840346063,0.0019268350723782766,0.012948904294496903,False,1777100840.7871346
2,Vehicle,TMA,13320,0.008753296104158668,0.00222,0.004865694442045505,0.0017329880580044703,0.017571978604208643,False,1777100840.7871366
3,Vehicle,ECA,1256,0.0011312620854663164,0.00020933333333333334,0.003977366853128343,0.000575430177786478,0.00589339244971447,False,1777100841.0209618
3,Vehicle,ECA,5240,0.0010183838753470259,0.0008733333333333334,0.003914455289345305,0.0009374797824878157,0.00674365228051348,False,1777100841.0209641
3,Vehicle,TMA,13312,0.0031001262284064044,0.0022186666666666665,0.0035483289177863065,0.0008645507400850565,0.009731672552944434,False,1777100841.0209656
4,Vehicle,ECA,1256,0.003374784989391681,0.00020933333333333334,0.0039510336053037165,0.0019926553725702475,0.009527807300598979,False,1777100841.3028426
4,Vehicle,ECA,5256,0.005780319146693614,0.000876,0.003233086322429032,0.0012763759710896854,0.011165781440212331,False,1777100841.302844
4,Vehicle,TMA,13312,0.0010704830077238122,0.0022186666666666665,0.002717428478306496,0.0012674775968162238,0.007274055749513199,False,1777100841.302845
5,Vehicle,ECA,1256,0.0027311270696464517,0.00020933333333333334,0.00339296842365077,0.0006809845004402791,0.0070144133270708346,False,1777100841.5948358
5,Vehicle,ECA,5240,0.002501839841251969,0.0008733333333333334,0.0037472767185832714,0.0007739801285502058,0.007896430021718779,False,1777100841.5948377
5,Vehicle,TMA,13328,0.005768133732829016,0.0022213333333333334,0.0025849626893428186,0.00255211362696979,0.013126543382474959,False,1777100841.5948393
